INFO   | jvm 1    | main    | 2016/07/05 13:30:45.368 | [m[32mINFO  [localhost-startStop-1] [hybrisserver] workflow->(catalog,platformservices,processing,commons) 6.0.0.0-SNAPSHOT [p*ci]
INFO   | jvm 1    | main    | 2016/07/05 13:30:45.368 | [m[32mINFO  [localhost-startStop-1] [hybrisserver] hac->(impex,catalog,processing,platformservices) 6.0.0.0-SNAPSHOT [p*cw]
INFO   | jvm 1    | main    | 2016/07/05 13:30:45.368 | [m[32mINFO  [localhost-startStop-1] [hybrisserver] comments->(workflow,impex,catalog,processing) 6.0.0.0-SNAPSHOT [p*ci]
INFO   | jvm 1    | main    | 2016/07/05 13:30:45.368 | [m[32mINFO  [localhost-startStop-1] [hybrisserver] advancedsavedquery->(impex,catalog,processing) 6.0.0.0-SNAPSHOT [p*ci]
INFO   | jvm 1    | main    | 2016/07/05 13:30:45.368 | [m[32mINFO  [localhost-startStop-1] [hybrisserver] ldap->(impex,catalog,processing) <-?-platformhmc 6.0.0.0-SNAPSHOT [?ci] path:/Users/mrangel/git/training/cuppy/hybris/bin/ext-platform-optional/ldap
INFO   | jvm 1    | main    | 2016/07/05 13:30:45.368 | [m[32mINFO  [localhost-startStop-1] [hybrisserver] hmc->scripting 6.0.0.0-SNAPSHOT [ciw] path:/Users/mrangel/git/training/cuppy/hybris/bin/ext-platform-optional/hmc
INFO   | jvm 1    | main    | 2016/07/05 13:30:45.368 | [m[32mINFO  [localhost-startStop-1] [hybrisserver] mediaconversion->hmc 6.0.0.0-SNAPSHOT [ciwh] path:/Users/mrangel/git/training/cuppy/hybris/bin/ext-platform-optional/mediaconversion
INFO   | jvm 1    | main    | 2016/07/05 13:30:45.368 | [m[32mINFO  [localhost-startStop-1] [hybrisserver] platformhmc->(ldap,hmc) 6.0.0.0-SNAPSHOT [cibh] path:/Users/mrangel/git/training/cuppy/hybris/bin/ext-platform-optional/platformhmc
INFO   | jvm 1    | main    | 2016/07/05 13:30:45.368 | [m[32mINFO  [localhost-startStop-1] [hybrisserver] cockpit->(comments,workflow,impex,catalog,processing,validation) 6.0.0.0-SNAPSHOT [ci] path:/Users/mrangel/git/training/cuppy/hybris/bin/ext-cockpit/cockpit
INFO   | jvm 1    | main    | 2016/07/05 13:30:45.368 | [m[32mINFO  [localhost-startStop-1] [hybrisserver] mcc->(impex,processing,cockpit) 6.0.0.0-SNAPSHOT [ciw] path:/Users/mrangel/git/training/cuppy/hybris/bin/ext-cockpit/mcc
INFO   | jvm 1    | main    | 2016/07/05 13:30:45.368 | [m[32mINFO  [localhost-startStop-1] [hybrisserver] backoffice 6.0.0.0-SNAPSHOT [ciw] path:/Users/mrangel/git/training/cuppy/hybris/bin/ext-backoffice/backoffice
INFO   | jvm 1    | main    | 2016/07/05 13:30:45.368 | [m[32mINFO  [localhost-startStop-1] [hybrisserver] platformbackoffice->backoffice 6.0.0.0-SNAPSHOT [cib] path:/Users/mrangel/git/training/cuppy/hybris/bin/ext-platform-backoffice/platformbackoffice
INFO   | jvm 1    | main    | 2016/07/05 13:30:45.368 | [m[32mINFO  [localhost-startStop-1] [hybrisserver] admincockpit->(impex,processing,validation,cockpit) 6.0.0.0-SNAPSHOT [ciw] path:/Users/mrangel/git/training/cuppy/hybris/bin/ext-cockpit/admincockpit
INFO   | jvm 1    | main    | 2016/07/05 13:30:45.368 | [m[32mINFO  [localhost-startStop-1] [hybrisserver] ---------------------------------------------------------------
INFO   | jvm 1    | main    | 2016/07/05 13:30:45.878 | [m
INFO   | jvm 1    | main    | 2016/07/05 13:30:46.084 | [32mINFO  [localhost-startStop-1] [HybrisContextFactory] Loading <<global>> spring config from extension (core) located in (global-core-spring.xml,core-cache.xml,global-servicelayer-spring.xml,global-core-jmx-spring.xml,global-statistics-spring.xml) took: (250.4 ms)
INFO   | jvm 1    | main    | 2016/07/05 13:30:46.185 | [m[32mINFO  [localhost-startStop-1] [HybrisContextFactory] Loading <<global>> spring config from extension (mediaconversion) located in (/mediaconversion-global-context.xml) took: (11.15 ms)
INFO   | jvm 1    | main    | 2016/07/05 13:30:46.185 | [m[32mINFO  [localhost-startStop-1] [HybrisContextFactory] Loading <<global>> spring config from extension (cockpit) located in (global-cockpit-spring.xml) took: (11.08 ms)
INFO   | jvm 1    | main    | 2016/07/05 13:30:46.390 | [m[32mINFO  [localhost-startStop-1] [DefaultRMIRegistryService] Creating Registry on port 2198.
INFO   | jvm 1    | main    | 2016/07/05 13:30:46.390 | [m[32mINFO  [localhost-startStop-1] [LocalRMISocketFactory] Creating server socket at '/127.0.0.1:2198'.
INFO   | jvm 1    | main    | 2016/07/05 13:30:46.496 | [m[32mINFO  [localhost-startStop-1] [HybrisContextFactory] - Refreshing SpringContext (Global context) took: (285.5 ms)
INFO   | jvm 1    | main    | 2016/07/05 13:30:46.496 | [m[32mINFO  [localhost-startStop-1] [HybrisContextFactory] Initializing <<global>> Spring ApplicationContext took: (577.8 ms)
INFO   | jvm 1    | main    | 2016/07/05 13:30:46.496 | [m[33mWARN  [localhost-startStop-1] [AutowiredAnnotationBeanPostProcessor] Inconsistent constructor declaration on bean with name 'defaultCacheController': single autowire-marked constructor flagged as optional - this constructor is effectively required since there is no default constructor to fall back to: public de.hybris.platform.regioncache.DefaultCacheController(de.hybris.platform.regioncache.CacheConfiguration)
INFO   | jvm 1    | main    | 2016/07/05 13:30:46.596 | [m[32mINFO  [localhost-startStop-1] [EHCacheRegion] EHCacheRegion entityCacheRegion, eviction policy FIFO, size 100000
INFO   | jvm 1    | main    | 2016/07/05 13:30:46.699 | [m[32mINFO  [localhost-startStop-1] [EHCacheRegion] EHCacheRegion queryCacheRegion, eviction policy FIFO, size 20000
INFO   | jvm 1    | main    | 2016/07/05 13:30:46.804 | [m[32mINFO  [localhost-startStop-1] [DefaultCacheController] Regioncache initialized with region count 5
INFO   | jvm 1    | main    | 2016/07/05 13:30:46.804 | [m[32mINFO  [localhost-startStop-1] [DefaultCacheController] Cache region: Name: typesystemCacheRegion, size: 0, types: [81, 82, 83, 84, 87], statistics: true, class: class de.hybris.platform.regioncache.region.impl.UnlimitedCacheRegion
INFO   | jvm 1    | main    | 2016/07/05 13:30:46.804 | [m[32mINFO  [localhost-startStop-1] [DefaultCacheController] Cache region: Name: entityCacheRegion, size: 100000, types: [__ALL_TYPES__, __NO_QUERY__], exclusive computation: false, statistics: true, class: class de.hybris.platform.regioncache.region.impl.EHCacheRegion
INFO   | jvm 1    | main    | 2016/07/05 13:30:46.804 | [m[32mINFO  [localhost-startStop-1] [DefaultCacheController] Cache region: Name: queryCacheRegion, size: 20000, types: [__QUERY_CACHE__], exclusive computation: false, statistics: true, class: class de.hybris.platform.regioncache.region.impl.EHCacheRegion
INFO   | jvm 1    | main    | 2016/07/05 13:30:46.804 | [m[32mINFO  [localhost-startStop-1] [DefaultCacheController] Cache region: Name: mediaCacheRegion, size: 0, types: [__MEDIA__cache], statistics: true, class: class de.hybris.platform.media.storage.impl.MediaCacheRegion
INFO   | jvm 1    | main    | 2016/07/05 13:30:46.805 | [m[32mINFO  [localhost-startStop-1] [DefaultCacheController] Cache region: Name: scriptsCacheRegion, size: 0, types: [__SCRIPT__], statistics: true, class: class de.hybris.platform.scripting.engine.internal.cache.impl.ScriptsCacheRegion
INFO   | jvm 1    | main    | 2016/07/05 13:30:46.805 | [m[32mINFO  [localhost-startStop-1] [DefaultCacheController] Registered Listener RegionCacheAdapter(2141279793) - <<master>> on cache controller. Currently registered 1
